camp_id,company_name,camp_date,location,camp_type,vendor
CMP1055,Mutti Group,2025-01-03,Nashik,Eye Camp,HealthFirst Diagnostics
CMP1056,Sidhu-Wadhwa,2026-03-10,Thane,Eye Camp,MedCamp Services
CMP1057,Patla-Gaba,2025-07-14,Mumbai,General,CarePlus Camps
CMP1058,Balan Inc,2026-07-10,Thane,Cardiac Specialist,MedCamp Services
CMP1059,"Yadav, Loke and Oak",2025-02-21,Nagpur,Diabetes Specialist,MedCamp Services
CMP1060,"Bala, Issac and Saini",2026-06-05,Kolhapur,Diabetes Specialist,MedCamp Services
CMP1061,"Boase, Bath and Kari",2025-03-11,Nagpur,General,CarePlus Camps
CMP1062,"Yadav, Loke and Oak",2025-09-10,Aurangabad,General,CarePlus Camps
CMP1063,"Murty, Kala and Tata",2025-03-25,Thane,Cardiac Specialist,HealthFirst Diagnostics
CMP1064,"Loke, Bora and Garg",2025-07-29,Mumbai,Cardiac Specialist,HealthFirst Diagnostics
CMP1065,Pant-Kadakia,2025-05-15,Nagpur,Cardiac Specialist,MedCamp Services
CMP1066,"Yohannan, Lall and Sangha",2025-01-10,Aurangabad,General,MedCamp Services
CMP1067,"Dash, Radhakrishnan and Brar",2026-07-05,Aurangabad,Cardiac Specialist,MedCamp Services
CMP1068,Kaul PLC,2025-12-24,Mumbai,Cardiac Specialist,HealthFirst Diagnostics
CMP1069,Dewan-Koshy,2025-06-11,Kolhapur,Cardiac Specialist,CarePlus Camps
CMP1070,"Choudhury, Bakshi and Maharaj",2026-06-26,Thane,Cardiac Specialist,CarePlus Camps
CMP1071,"Sami, Oak and Mall",2025-04-17,Nashik,General,MedCamp Services
CMP1072,Kale LLC,2026-07-21,Nashik,Cardiac Specialist,CarePlus Camps
CMP1073,"Konda, Gade and Shere",2025-08-04,Mumbai,Cardiac Specialist,CarePlus Camps
CMP1074,Buch-Kaul,2026-05-16,Kolhapur,General,MedCamp Services
CMP1075,Rai LLC,2026-03-10,Pune,General,HealthFirst Diagnostics
CMP1076,Buch-Kaul,2025-05-14,Mumbai,Eye Camp,CarePlus Camps
CMP1077,Sidhu-Wadhwa,2026-03-14,Pune,General,MedCamp Services
CMP1078,Bhatt-Rajan,2025-06-02,Pune,Cardiac Specialist,CarePlus Camps
CMP1079,Kale LLC,2026-07-20,Nagpur,Diabetes Specialist,MedCamp Services
CMP1080,"Nair, Bhalla and Karnik",2025-11-12,Kolhapur,General,HealthFirst Diagnostics
CMP1081,"Boase, Bath and Kari",2025-08-04,Thane,General,HealthFirst Diagnostics
CMP1082,"Murty, Kala and Tata",2026-07-28,Aurangabad,Diabetes Specialist,MedCamp Services
CMP1083,Parmer LLC,2025-06-16,Nagpur,General,MedCamp Services
CMP1084,"Murty, Kala and Tata",2025-12-07,Kolhapur,Diabetes Specialist,HealthFirst Diagnostics
CMP1085,Sen PLC,2025-06-13,Nagpur,General,HealthFirst Diagnostics
CMP1086,"Lalla, Bassi and Sharaf",2025-08-16,Kolhapur,Eye Camp,HealthFirst Diagnostics
CMP1087,"Memon, Pathak and Handa",2025-11-09,Mumbai,General,CarePlus Camps
CMP1088,Bhatti-Kakar,2025-07-17,Nashik,Cardiac Specialist,MedCamp Services
CMP1089,Madan-Kanda,2025-10-13,Thane,Eye Camp,CarePlus Camps
CMP1090,"Konda, Gade and Shere",2026-07-04,Pune,General,HealthFirst Diagnostics
CMP1091,"Yadav, Loke and Oak",2025-07-02,Nashik,General,MedCamp Services
CMP1092,Madan-Kanda,2026-03-21,Thane,Cardiac Specialist,HealthFirst Diagnostics
CMP1093,Ahuja-Dutta,2026-06-08,Nagpur,Diabetes Specialist,HealthFirst Diagnostics
CMP1094,Shanker-Dhar,2025-02-15,Pune,Diabetes Specialist,HealthFirst Diagnostics
CMP1095,Kaul PLC,2026-03-18,Thane,Cardiac Specialist,CarePlus Camps
CMP1096,Ahuja-Dutta,2025-11-18,Thane,Cardiac Specialist,CarePlus Camps
CMP1097,"Murty, Kala and Tata",2025-11-13,Nashik,Eye Camp,CarePlus Camps
CMP1098,Sidhu-Wadhwa,2025-10-30,Mumbai,Diabetes Specialist,HealthFirst Diagnostics
CMP1099,Parmer LLC,2026-01-24,Aurangabad,Cardiac Specialist,HealthFirst Diagnostics
CMP1100,"Choudhury, Bakshi and Maharaj",2026-07-16,Nashik,Cardiac Specialist,MedCamp Services
CMP1101,"Yadav, Loke and Oak",2026-03-17,Aurangabad,Cardiac Specialist,HealthFirst Diagnostics
CMP1102,Dewan-Koshy,2026-03-29,Thane,Diabetes Specialist,CarePlus Camps
CMP1103,Chanda Group,2026-04-30,Thane,General,HealthFirst Diagnostics
CMP1104,Setty Inc,2026-06-12,Nashik,General,MedCamp Services
CMP1105,"Memon, Pathak and Handa",2025-11-14,Kolhapur,Diabetes Specialist,MedCamp Services
CMP1106,"Chaudry, Chahal and Sami",2025-01-26,Mumbai,Eye Camp,CarePlus Camps
CMP1107,"Yohannan, Lall and Sangha",2025-03-16,Nagpur,Diabetes Specialist,CarePlus Camps
CMP1108,Upadhyay Group,2026-01-29,Nagpur,Diabetes Specialist,MedCamp Services
CMP1109,Sen PLC,2025-01-06,Kolhapur,Eye Camp,MedCamp Services
CMP1110,Dutta Ltd,2025-06-30,Nagpur,General,CarePlus Camps
CMP1111,Ahuja-Dutta,2025-09-13,Nagpur,Diabetes Specialist,HealthFirst Diagnostics
CMP1112,Sidhu-Wadhwa,2026-06-28,Aurangabad,Cardiac Specialist,HealthFirst Diagnostics
CMP1113,Shanker-Dhar,2026-06-01,Kolhapur,Eye Camp,MedCamp Services
CMP1114,Dewan-Koshy,2026-05-02,Nashik,Diabetes Specialist,CarePlus Camps
CMP1115,Dutta Ltd,2025-10-11,Nagpur,Diabetes Specialist,HealthFirst Diagnostics
CMP1116,Kaul PLC,2026-03-27,Thane,Cardiac Specialist,MedCamp Services
CMP1117,"Konda, Gade and Shere",2025-10-06,Nashik,General,MedCamp Services
CMP1118,"Memon, Pathak and Handa",2025-06-04,Nagpur,Diabetes Specialist,CarePlus Camps
CMP1119,Kaul PLC,2025-08-08,Nagpur,Eye Camp,HealthFirst Diagnostics
CMP1120,"Yohannan, Lall and Sangha",2026-07-10,Nagpur,General,MedCamp Services
CMP1121,Mutti Group,2026-03-07,Kolhapur,General,CarePlus Camps
CMP1122,"Rastogi, Pathak and Kanda",2026-01-25,Pune,Cardiac Specialist,HealthFirst Diagnostics
CMP1123,"Murty, Kala and Tata",2026-02-04,Aurangabad,Diabetes Specialist,HealthFirst Diagnostics
CMP1124,Rai LLC,2025-08-13,Nagpur,Eye Camp,MedCamp Services
CMP1125,"Konda, Gade and Shere",2026-02-03,Thane,Eye Camp,CarePlus Camps
CMP1126,"Yohannan, Lall and Sangha",2025-06-19,Mumbai,General,HealthFirst Diagnostics
CMP1127,Kapoor and Sons,2026-08-01,Pune,Eye Camp,MedCamp Services
CMP1128,Parmer LLC,2026-04-18,Pune,Cardiac Specialist,HealthFirst Diagnostics
CMP1129,"Dash, Radhakrishnan and Brar",2025-12-02,Nagpur,Cardiac Specialist,HealthFirst Diagnostics
CMP1130,Rai LLC,2026-01-24,Kolhapur,Eye Camp,HealthFirst Diagnostics
CMP1131,"Rastogi, Pathak and Kanda",2025-03-25,Pune,General,HealthFirst Diagnostics
CMP1132,Kaul PLC,2025-08-18,Kolhapur,General,MedCamp Services
CMP1133,"Lalla, Bassi and Sharaf",2025-09-11,Kolhapur,General,CarePlus Camps
CMP1134,"Boase, Bath and Kari",2025-06-06,Mumbai,Eye Camp,CarePlus Camps
CMP1135,Apte-Contractor,2025-04-28,Mumbai,Eye Camp,CarePlus Camps
CMP1136,"Nair, Bhalla and Karnik",2025-09-20,Mumbai,General,MedCamp Services
CMP1137,Sen PLC,2025-11-15,Aurangabad,General,HealthFirst Diagnostics
CMP1138,Mutti Group,2026-08-13,Nagpur,Diabetes Specialist,MedCamp Services
CMP1139,Sen PLC,2025-09-06,Thane,Cardiac Specialist,CarePlus Camps
CMP1140,Apte-Contractor,2025-05-04,Kolhapur,General,HealthFirst Diagnostics
CMP1141,Shanker-Dhar,2026-06-30,Thane,Cardiac Specialist,MedCamp Services
CMP1142,"Konda, Gade and Shere",2026-06-03,Pune,Eye Camp,HealthFirst Diagnostics
CMP1143,Shanker-Dhar,2025-04-19,Nashik,Eye Camp,CarePlus Camps
CMP1144,Shanker-Dhar,2025-06-06,Mumbai,Cardiac Specialist,CarePlus Camps
CMP1145,"Rastogi, Pathak and Kanda",2026-07-06,Nagpur,Eye Camp,CarePlus Camps
CMP1146,"Loke, Bora and Garg",2025-10-02,Kolhapur,Diabetes Specialist,MedCamp Services
CMP1147,Dewan-Koshy,2025-10-13,Mumbai,Eye Camp,CarePlus Camps
CMP1148,"Konda, Gade and Shere",2026-01-24,Pune,Eye Camp,HealthFirst Diagnostics
CMP1149,Upadhyay Group,2025-07-06,Mumbai,Cardiac Specialist,HealthFirst Diagnostics
CMP1014,Madan-Kanda,2026-01-15,Mumbai,Cardiac Specialist,CarePlus Camps
CMP1098,Sidhu-Wadhwa,2025-10-30,Mumbai,Diabetes Specialist,HealthFirst Diagnostics
CMP1075,Rai LLC,2026-03-10,Pune,General,HealthFirst Diagnostics
