device_id,device_type,assigned_camp_id,location,last_service_date,next_service_due
DEV5180,Glucometer,CMP1089,Nashik,2026-07-26,2026-10-24
DEV5181,Audiometer,CMP1123,Aurangabad,2025-10-29,2026-01-27
DEV5182,X-Ray Machine,CMP1136,Mumbai,2026-08-05,2027-02-01
DEV5183,Weighing Scale,CMP1095,Nagpur,2026-04-29,2027-04-29
DEV5184,X-Ray Machine,CMP1030,Mumbai,2025-10-15,2026-01-13
DEV5185,Glucometer,CMP1077,Thane,2026-01-12,2027-01-12
DEV5186,Vision Chart Unit,CMP1070,Kolhapur,2025-11-13,2026-02-11
DEV5187,X-Ray Machine,CMP1117,Mumbai,2026-07-25,2027-01-21
DEV5188,BP Monitor,CMP1090,Pune,2026-07-11,2027-01-07
DEV5189,X-Ray Machine,CMP1045,Kolhapur,2025-08-04,2026-01-31
DEV5190,Audiometer,CMP1007,Nashik,2025-08-12,2026-02-08
DEV5191,Audiometer,CMP1036,Nagpur,2026-06-17,2026-09-15
DEV5192,X-Ray Machine,CMP1136,Nagpur,2026-02-05,2027-02-05
DEV5193,Glucometer,CMP1052,Mumbai,2025-09-19,2026-09-19
DEV5194,Glucometer,CMP1071,Thane,2026-03-12,2026-09-08
DEV5195,Vision Chart Unit,CMP1100,Kolhapur,2026-01-02,2026-07-01
DEV5196,BP Monitor,CMP1063,Mumbai,2025-12-30,2026-12-30
DEV5197,X-Ray Machine,CMP1146,Aurangabad,2026-05-31,2026-11-27
DEV5198,BP Monitor,CMP1085,Aurangabad,2025-12-09,2026-06-07
DEV5199,Vision Chart Unit,CMP1147,Nashik,2026-05-25,2026-08-23
